,time,day,year,air_temp,water_temp,phi_sn,phi_at,phi_ws,phi_e,phi_c,phi_dz,heat
1,hour0,1,2018,17.4,-99,-99,-99,-99,-99,-99,-99,-99
2,hour3,1,2018,13.77,-99,-99,-99,-99,-99,-99,-99,-99
3,hour6,1,2018,11.44,11.4421662,0,0,0,0,0,0,0
"1","hour9",1,2018,15.5505822,2963.42301489963,3.12927003181552,3259.66526358047,3951.43734300295,-14247.4966143793,-20.7273260774845,159.277427639466,13697.4039065506
"1","hour12",1,2018,21.5993293,11580.7498840344,6.56164424608492,3702.85549646702,66100534.2842938,2131829509.95588,10113.3930655702,71590052846.2809,69392150322.2549
"1","hour15",1,2018,24.4507735,46425.9761408914,4.03858257917716,3928.64662827554,11893463777.1018,8008631478.93493,39737.6657087642,16696970828695.1,16746460927431.7
"1","hour18",1,2018,22.4345406,186151.856749058,0.202069454969253,3767.8359375631,2864826662970.83,11269914093.5753,159564.656044455,4312593393899654,4326463758413354
"1","hour21",1,2018,19.5831332,746410.405073423,0,3549.84931107803,727578746669101,12272448543.3111,640044.412025283,1114717119223620480,1118315991963559680
"1","hour0",2,2018,17.1959035,2992877.2396029,0,3375.56545985174,187244763333227968,12536076553.2737,2566593.77628199,2.8814171138382e+20,2.89072782599917e+20
"1","hour3",2,2018,14.7155112,12000527.8025028,0,3202.1278892685,48347885818880622592,13515616928.7858,11036968.2918922,7.44819534104301e+22,7.47226783071977e+22
"1","hour6",2,2018,13.6793898,48118474.1746521,0.0697314497637258,3131.92235514848,1.249407948487e+22,13533495745.946,44255078.4695407,1.92529306704024e+25,1.93151592692248e+25
"1","hour9",2,2018,15.9289274,192940483.090914,2.15973795795984,3286.01720406408,3.22939066646102e+24,13537958325.559,177449598.528114,4.97671591278384e+27,4.9928016813866e+27
"1","hour12",2,2018,20.7010028,773632808.463762,4.52867026521086,3634.01468296574,8.34755405756989e+26,13539071501.7917,711519232.347236,1.28643814054076e+30,1.29059618681639e+30
"1","hour15",2,2018,22.9506102,3102032885.70544,2.78732100583337,3808.46197427249,2.15776162194285e+29,13539349137.1146,2852976505.42471,3.32533174355932e+32,3.33607994380554e+32
"1","hour18",2,2018,21.3599312,12438210897.3884,0.139462899527452,3684.40404140348,5.5776219922523e+31,13539418378.9809,11439570608.9025,8.59569608602192e+34,8.62347926346772e+34
"1","hour21",2,2018,19.1103527,49873452683.2808,0,3514.74776046034,1.44176685637671e+34,13539435647.6408,45869208290.7044,2.22191339218178e+37,2.22909510458887e+37
"1","hour0",3,2018,17.5669035,199977416619.547,0,3402.17069966304,3.72684288138255e+36,13539439954.3689,183921611467.904,5.74345471885722e+39,5.76201882702173e+39
"1","hour3",3,2018,15.2701097,801848779391.696,0,3240.24462186036,9.6335676536099e+38,13944649753.9059,759540691584.952,1.48463356976742e+42,1.48943223182908e+42
"1","hour6",3,2018,10.0791186,3215170372144.66,0.0801659587755864,2897.90808874633,2.49019424319316e+41,13944650029.793,3045527773995.84,3.83764988920175e+44,3.85005401727685e+44
"1","hour9",3,2018,13.3284507,12891857900892.5,2.48291788985497,3108.43763532658,6.43693760290878e+43,13944650098.598,12211642541919.8,9.91999438252391e+46,9.95205798509377e+46
"1","hour12",3,2018,20.2214485,51692439559886,5.20633365603669,3597.70628351469,1.66389292116022e+46,13944650115.7576,48964982307425.1,2.56423309553018e+49,2.57252126059411e+49
"1","hour15",3,2018,23.4708814,207271002224401,3.20441151883524,3849.78941235595,4.30101987064065e+48,13944650120.0371,196334725990507,6.62832166497892e+51,6.64974585771422e+51
"1","hour18",3,2018,21.173234,831093845229282,0.160331917551173,3670.06796311337,1.11177658689913e+51,13944650121.1044,787242694947182,1.71336405301915e+54,1.71890202228996e+54
"1","hour21",3,2018,17.9238428,3332434214942396,0,3427.93312329441,2.87384670698515e+53,13944650121.3706,3156604404141497,4.42889848525118e+56,4.4432136587671e+56
"1","hour0",4,2018,17.5196762,13362050339640126,0,3398.77420297809,7.42864617999309e+55,13944650121.437,12657026134632394,1.14483210722766e+59,1.14853245626843e+59
"1","hour3",4,2018,12.3768251,53577768610854064,0,3045.4960023973,1.92024104603197e+58,12656615523.0812,46063095109690688,2.95929237959266e+61,2.96885746310931e+61
"1","hour6",4,2018,8.38917190000001,214830599822117696,0.103409604566233,2793.22237711585,4.96365769148808e+60,12656615523.085,184699038587310208,7.64951588326976e+63,7.67424080020936e+63
"1","hour9",4,2018,11.4419425,861405538463972608,3.2028252525375,2984.70447921468,1.28306275554219e+63,12656615523.0859,740587118035407232,1.97733396172401e+66,1.98372513976868e+66
"1","hour12",4,2018,17.9179628,3453974910049162240,6.7158793187737,3427.50740945996,3.31660669808598e+65,12656615523.0861,2969529693251326464,5.11123796048114e+68,5.12775860518074e+68
"1","hour15",4,2018,20.9708281,13849391658802384896,4.1335116936336,3654.57844610522,8.57314261697243e+67,12656615523.0862,1.19069132913e+19,1.32121098379788e+71,1.32548142814136e+71
"1","hour18",4,2018,18.812172,55531859470332690432,0.206819209132466,3492.75917760654,2.21608351612403e+70,12656615523.0862,47743110449017610240,3.41521658198015e+73,3.42625531274544e+73
"1","hour21",4,2018,15.7593460000001,2.22665911413718e+20,0,3274.18379887321,5.72838499235296e+72,12656615523.0862,1.91435390481309e+20,8.82804067243246e+75,8.85657484056756e+75
"1","hour0",5,2018,15.626199,8.92822761178912e+20,0,3264.9178148536,1.4807381753377e+75,12656615523.0862,7.67597845721954e+20,2.28197246772956e+78,2.28934830439479e+78
"1","hour3",5,2018,10.5478835,3.57994844301985e+21,0,2927.52134093859,3.82758063019403e+77,13302957924.7411,3.23501175226499e+21,5.89870225647807e+80,5.91776815889182e+80
"1","hour6",5,2018,7.0190824,1.43545073131397e+22,0.0926152563583838,2710.69234840493,9.89396621539471e+79,13302957924.7411,1.29714158164828e+22,1.52476372097505e+83,1.5296920925124e+83
"1","hour9",5,2018,10.4018822,5.75572200221875e+22,2.86850030109994,2918.27096708674,2.55750503853946e+82,13302957924.7411,5.20114426682668e+22,3.94138287323865e+85,3.95412228912524e+85
"1","hour12",5,2018,17.5780128,2.30786992852763e+23,6.01484637127503,3402.9700719492,6.61093021722409e+84,13302957924.7411,2.08550107922446e+23,1.01881352105656e+88,1.02210655032397e+88
